i,t,Y,K,H,L,I
63,2011,91.252129,19.894863,56.04,94.26215112144183,13.59
63,2012,96.697839,20.91108,66.75,95.6554681667082,14.73
63,2013,101.850536,22.112484,62.14,96.11759660644944,15.93
63,2014,106.779398,23.375035,71.36,95.97205605836984,17.3
63,2015,110.86311651000001,24.62297217,73.88,95.16773195761655,23.35
64,2010,383.293002,97.159066,72.39,89.54574473629351,17.48
64,2011,407.435383,105.497505,73.55,89.10374794403454,19.29
64,2012,428.877711,110.334678,81.33,90.5160735914786,21.86
64,2013,438.532907,111.846992,83.02,91.05793241352588,21.85
64,2014,446.029049,117.106156,85.97,91.10941554121483,24.75
64,2015,440.67635622,115.3802447,90.31,92.82846465207619,31.56
71,2010,51.721334,20.141036,71.31,89.51758240121535,14.06
71,2011,54.910897,21.961154,75.71,90.26416546487738,14.78
71,2012,58.677587,22.369519,74.58,91.44854448076276,15.19
71,2013,62.422498,23.331262,80.88,92.50314348167818,16.66
71,2014,66.360757,23.801172,83.48,92.73424326713673,18.96
71,2015,70.42533021999999,26.067778739999998,86.3,91.30688225630303,23.53
72,2010,51.752071,18.388284,60.32,95.10747562246347,7.64
72,2011,56.833829,21.262487,68.65,95.68931332903811,7.81
72,2012,62.249529,24.156746,71.83,96.24985615741568,9.27
72,2013,68.219319,26.670476,77.98,97.33075977484958,10.72
72,2014,71.677531,30.720125,83.35,97.07834116229017,11.39
72,2015,82.78720181999999,35.08232786,82.87,97.01316554120602,15.8
73,2010,171.740744,57.259193,67.71,92.01408186092645,12
73,2011,185.708474,64.561919,66.68,93.10826160438657,11.81
73,2012,202.184588,74.678047,74.87,93.43710694624232,13.94
73,2013,217.589132,82.975854,74.71,94.11962830810884,14.13
73,2014,233.988051,89.7107,78.51,94.21202988055175,15.71
73,2015,250.80299305,96.96327205,78.03,94.18747187735465,21.37
74,2010,48.401152,21.023366,73.02,95.2304057401158,8.1
74,2011,53.54669,22.31769,71.3,95.54690268788121,7.43
74,2012,59.785399,23.366566,71.55,96.7980790637599,9.61
74,2013,64.268714,24.807787,72.31,96.56642908809451,10.66
74,2014,68.291785,28.74249,82.22,97.87270558931864,12.55
74,2015,72.99332794,29.95617893,81.39,96.38038879271524,17.03
75,2010,15.475737,4.86397,61.93,94.95105541278046,9.39
75,2011,16.66909,5.288344,61.13,95.04993160934572,8.89
75,2012,17.987075,5.726685,62.39,95.0756930744471,11.97
75,2013,19.367573,6.188275,65.6,95.49031188288612,12.79
75,2014,20.775803,6.722079,76.95,97.55994030458491,15.48
75,2015,22.06880261,7.31738014,86.74,96.94295259282563,18.1
76,2010,17.183832,4.54889,52.17,95.89723308579045,4.5
76,2011,19.027504,5.223617,63.13,97.23169408032061,5.78
76,2012,20.786886,5.599707,64.16,97.8970478181871,6.48
76,2013,22.227393,6.253907,71.57,97.98195599678026,7.63
76,2014,24.195655,6.726598,76.3,98.40256495198206,8.91
76,2015,25.96443214,7.18286817,84.98,98.19378764228998,12.21
81,2010,18.428585000000002,4.385617,86.92,90.87260758181147,7.32
81,2011,19.59739,5.173868,87.49,91.82172668699712,7.68
81,2012,21.000079,6.281171,83.08,92.41421352648351,10.34
81,2013,22.100937,6.968008,85.44,93.03290768939857,10.97
81,2014,23.567734,7.344176,86.04,93.40688772356808,13.28
81,2015,24.85919657,7.61958776,95.13,93.27830719380752,16.64
82,2010,14.983912,3.431172,74.96,93.97132881378415,5.85
82,2011,16.002452,4.212398,81.85,94.19991246397397,4.82
82,2012,17.12007,4.659084,85.45,94.50260514639893,5.88
82,2013,18.208743,5.026494,81.19,94.4978561618256,6.73
82,2014,19.208761,5.251233,84.23,94.35074398457911,8.02
82,2015,20.380303920000003,5.786401730000001,84.61,94.44489404256795,11.16
91,2010,41.361672,6.853308,72.91,92.23421091272971,8.13
91,2011,42.867187,7.387275,67.35,93.18497767845433,10.13
91,2012,44.423335,7.601437,67.83,93.4349243107588,11.71
91,2013,47.694235,9.03486,73.24,95.63838014321422,10.98
91,2014,50.259908,9.020799,83.12,96.30298228875148,13.3
91,2015,52.34648594,10.00894353,89,95.38886668513801,17.72
94,2010,110.808177,25.009776,48.2,95.92170762363827,4.8
94,2011,106.066723,27.037629,46.29,96.15672033310557,5.37
94,2012,107.890943,28.882225,44.23,96.97099595710526,5.58
94,2013,117.118819,30.778247,53.48,97.09476417082348,5.25
94,2014,121.391234,33.168026,61.53,96.51806066203679,5.84
94,2015,130.31160486,35.52477777,66.97,96.27933610502156,8.98
